signal,horizon,expected_sign,train_dates,train_ic,train_t,train_positive_share,train_partial_ic,train_partial_t,train_top_bottom_net,train_median_share_spread,test_dates,test_ic,test_t,test_positive_share,test_partial_ic,test_partial_t,test_top_bottom_net,test_median_share_spread,yearly_ic,same_sign_years,years,test_p,test_fdr,c1_train,c2_test,c3_years,c4_economic,c5_not_reversal,passes_1_to_3_and_5
H4,20,1,117,0.019062110484316504,0.6902912316009294,0.6239316239316239,0.024523575398089678,0.9311718302819995,0.00352193654933946,0.0,82,-0.0010489795159153285,-0.036520067673586065,0.45121951219512196,0.0044623955297351595,0.15893859749258854,-0.001266172932771702,0.0031468119035152216,"{'2022': -0.0199, '2023': 0.0024, '2024': 0.0489, '2025': -0.0076, '2026': 0.0091}",3,5,0.9708676776918713,False,False,False,False,False,False,False
H5,5,1,117,-0.0011920200446314043,-0.09132502197294469,0.4700854700854701,0.0004984355735326747,0.03832180952701868,3.446248314076899e-05,0.0,82,0.016939861053217483,0.8751379739472727,0.573170731707317,0.018724047375218742,0.9942421072218148,0.0020637258798524172,0.0035644968495437326,"{'2022': -0.0386, '2023': -0.0081, '2024': 0.0185, '2025': 0.0269, '2026': 0.0014}",3,5,0.3814988372327509,False,False,False,False,False,False,False
H5,10,1,117,-0.0011665640926060814,-0.08610929975397612,0.5299145299145299,-0.00039875375787351715,-0.030160032854562875,0.0006439618712178467,0.0,82,0.01803818273144519,0.8670358550876751,0.5853658536585366,0.023113700127030765,1.1236936638543613,0.0047142463650921606,0.0035644968495437326,"{'2022': -0.0459, '2023': -0.0113, '2024': 0.0242, '2025': 0.0334, '2026': -0.006}",2,5,0.3859223644745988,False,False,False,False,True,False,False
H5,20,1,117,0.000966616921422925,0.06223086941753188,0.5042735042735043,0.0036503545006857235,0.24038968904458125,0.001642506860181169,0.0,82,0.03440964878590911,1.2318466105340584,0.6707317073170732,0.036248156818175205,1.3296680960323373,0.010982333892843912,0.0035644968495437326,"{'2022': -0.0673, '2023': -0.006, '2024': 0.0311, '2025': 0.0581, '2026': -0.0026}",2,5,0.21800638817310913,False,False,False,False,False,False,False
H6,5,-1,117,-0.0034573335827733655,-0.5110263989735275,0.5128205128205128,-0.009098267502505435,-1.5507112467283428,0.0002852605324540039,0.0,82,-0.0016501635248361074,-0.2672711044660684,0.5365853658536586,-0.0020867553130253695,-0.3221079735366002,-0.000371379171076199,0.003719877749072952,"{'2022': -0.0017, '2023': 0.0021, '2024': -0.0096, '2025': 0.0032, '2026': -0.0092}",3,5,0.7892604330477296,False,False,False,False,False,False,False
H6,10,-1,117,-0.0017982737898421637,-0.28124895288338536,0.5213675213675214,-0.002527564590813465,-0.4741093810839538,0.00021944581625000926,0.0,82,-0.0069367068879483025,-1.1575582185948279,0.5121951219512195,-0.00391701686832002,-0.6034096742901484,-0.00014562428037534505,0.003714268182459155,"{'2022': -0.005, '2023': 0.0048, '2024': -0.0073, '2025': -0.0047, '2026': -0.0104}",4,5,0.24704436805749141,False,False,False,True,False,False,False
H6,20,-1,117,-0.009679877629767629,-1.670433398831117,0.5726495726495726,-0.006685895539431464,-1.2210781479300061,-0.0017770392679046013,0.0,82,-0.00452717561956731,-0.665685264385351,0.5975609756097561,0.00010244390510006061,0.013617023505120018,-0.0023384849853548377,0.0036622180848844307,"{'2022': -0.0135, '2023': -0.0081, '2024': -0.01, '2025': 0.0017, '2026': -0.0142}",4,5,0.5056122941583066,False,False,False,True,False,False,False
H7,5,-1,117,-0.01454554810139026,-1.115549876490024,0.5213675213675214,-0.006327302113047225,-0.4913738386653266,-0.0023143967425867666,0.0,82,-0.0057267509515282,-0.3488854935271454,0.47560975609756095,-0.007682057543746044,-0.5319803414203164,-0.0015951384060156981,0.0024570678699030253,"{'2022': -0.0291, '2023': -0.0117, '2024': -0.0124, '2025': -0.0152, '2026': 0.0091}",4,5,0.727175276221153,False,False,False,True,False,False,False
H7,10,-1,117,-0.007594305161040302,-0.5966573364548171,0.5213675213675214,-0.00386791027855109,-0.3289536864817445,-0.0013189739267305666,0.0,82,-0.008618773363564107,-0.5141628544232805,0.4634146341463415,0.0016163134856546748,0.11999050708388077,-0.0014263962483836796,0.0024570678699030253,"{'2022': -0.0122, '2023': -0.0076, '2024': -0.006, '2025': -0.0248, '2026': 0.0167}",4,5,0.6071381356925585,False,False,False,True,False,False,False
H7,20,-1,117,0.0031318873456239807,0.2164779104986975,0.452991452991453,0.010288814373573998,0.7624101179619595,-0.0005173673557933283,0.0,82,0.00822591016683966,0.5315412020816289,0.47560975609756095,0.021164317827992163,1.4159591722598068,0.00255209045374342,0.002461055764321465,"{'2022': -0.0112, '2023': 0.0008, '2024': 0.0104, '2025': -0.0002, '2026': 0.0214}",2,5,0.5950437974900291,False,False,False,False,False,False,False
H8,5,1,117,-0.004764997762118711,-0.9245648996110757,0.5042735042735043,-0.0036704950176126533,-0.8165611264231483,-0.0007744023123281476,0.0,82,0.0023375844419356064,0.32157798936238413,0.5365853658536586,0.0021262665018471397,0.31017164333348546,0.0002635752633395507,0.0038485622998402913,"{'2022': -0.012, '2023': -0.0047, '2024': -0.0024, '2025': -0.0071, '2026': 0.017}",1,5,0.7477724207398451,False,False,False,False,False,False,False
H8,10,1,117,-0.0039561019742776656,-0.7498961712092316,0.48717948717948717,-0.0017695419730650096,-0.38782648815841614,-0.0007593770496040048,0.0,82,-0.0052670768509305126,-0.6870500743602977,0.4024390243902439,-0.003443761998241693,-0.5348870302085544,-0.0009363185864473934,0.0038485622998402913,"{'2022': -0.0188, '2023': -0.0021, '2024': -0.0008, '2025': -0.0126, '2026': 0.0062}",1,5,0.4920511739300415,False,False,False,False,False,False,False
H8,20,1,117,-0.006661486334189397,-1.501789019457816,0.48717948717948717,-0.003918866675729718,-0.9360347901607585,-0.0024247509674927797,0.0,82,-0.002732866255258587,-0.5140255806081935,0.43902439024390244,-0.0029016758501036765,-0.5909437409444944,1.8441295510594854e-06,0.0038790154015295804,"{'2022': -0.0197, '2023': -0.0057, '2024': -0.0032, '2025': -0.0089, '2026': 0.007}",1,5,0.6072341060911572,False,False,False,False,False,False,False
