             label  h         iv direction    n  sessions     b_F  se_F_hc1  t_F_hc1  p_F_hc1  t_F_cl_ticker    b_IV  t_IV_hc1  frac_sessions_bF_pos  frac_sessions_tF_gt2              power
session:2026-07-22 20    IV_pipe    POOLED  596       1.0  0.2271    0.0703   3.2279   0.0012         3.2279  0.1223    2.1118                   NaN                   NaN                 OK
session:2026-07-30 20    IV_pipe    POOLED  548       1.0  0.1550    0.0612   2.5349   0.0112         2.5349  0.1992    3.2424                   NaN                   NaN                 OK
session:2026-08-03 20    IV_pipe    POOLED  576       1.0  0.1406    0.0621   2.2647   0.0235         2.2647  0.1864    3.3355                   NaN                   NaN                 OK
session:2026-08-07 20    IV_pipe    POOLED  517       1.0  0.3639    0.0570   6.3817   0.0000         6.3817  0.0576    1.3891                   NaN                   NaN                 OK
session:2026-08-13 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-14 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-17 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-19 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-20 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-21 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-28 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-31 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-01 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-03 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-04 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-08 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-09 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-10 20    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
      fama_macbeth 20    IV_pipe    POOLED 2237       4.0  0.2216    0.0510   4.3429   0.0225            NaN     NaN       NaN                1.0000                1.0000                 OK
session:2026-07-22  5   IV_cache    POOLED   74       1.0  0.0671    0.5656   0.1186   0.9056         0.1186  0.7865    1.4864                   NaN                   NaN INSUFFICIENT_POWER
session:2026-07-30  5   IV_cache    POOLED   74       1.0  0.0209    0.2198   0.0951   0.9242         0.0951  0.6700    2.2837                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-03  5   IV_cache    POOLED 1243       1.0  0.3046    0.1341   2.2704   0.0232         2.2704  0.3953    4.1014                   NaN                   NaN                 OK
session:2026-08-07  5   IV_cache    POOLED   19       1.0 -0.2588    0.1045  -2.4777   0.0132        -2.4777  0.7486    2.9690                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-13  5   IV_cache    POOLED   19       1.0  0.6891    0.1375   5.0100   0.0000         5.0100 -0.4200   -1.1914                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-14  5   IV_cache    POOLED  164       1.0  0.1860    0.3342   0.5567   0.5777         0.5567  0.5784    0.9215                   NaN                   NaN                 OK
session:2026-08-17  5   IV_cache    POOLED  161       1.0  0.5354    0.3965   1.3502   0.1770         1.3502  0.4070    0.6326                   NaN                   NaN                 OK
session:2026-08-19  5   IV_cache    POOLED  159       1.0  0.2699    0.1263   2.1372   0.0326         2.1372  0.2399    1.3323                   NaN                   NaN                 OK
session:2026-08-20  5   IV_cache    POOLED  158       1.0 -0.0619    0.1166  -0.5310   0.5954        -0.5310  0.5326    3.2178                   NaN                   NaN                 OK
session:2026-08-21  5   IV_cache    POOLED  146       1.0 -0.0613    0.2343  -0.2615   0.7937        -0.2615  0.4991    1.9066                   NaN                   NaN                 OK
session:2026-08-28  5   IV_cache    POOLED 1242       1.0  0.0882    0.1001   0.8818   0.3779         0.8818  0.3317    1.8899                   NaN                   NaN                 OK
session:2026-08-31  5   IV_cache    POOLED 1276       1.0  0.1667    0.1051   1.5859   0.1128         1.5859  0.3603    1.9988                   NaN                   NaN                 OK
session:2026-09-01  5   IV_cache    POOLED 1270       1.0  0.3574    0.0685   5.2170   0.0000         5.2170  0.1727    1.9983                   NaN                   NaN                 OK
session:2026-09-03  5   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-04  5   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-08  5   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-09  5   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-10  5   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
      fama_macbeth  5   IV_cache    POOLED 5819       9.0  0.1983    0.0649   3.0539   0.0157            NaN     NaN       NaN                0.7778                0.3333                 OK
session:2026-07-22 10   IV_cache    POOLED   74       1.0  0.5192    0.5105   1.0172   0.3091         1.0172 -0.0673   -0.1740                   NaN                   NaN INSUFFICIENT_POWER
session:2026-07-30 10   IV_cache    POOLED   74       1.0  0.1823    0.2252   0.8096   0.4182         0.8096  0.4667    1.5445                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-03 10   IV_cache    POOLED 1242       1.0  0.2408    0.1246   1.9328   0.0533         1.9328  0.4866    3.6523                   NaN                   NaN                 OK
session:2026-08-07 10   IV_cache    POOLED   19       1.0  0.5066    0.1421   3.5646   0.0004         3.5646 -0.0764   -0.2247                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-13 10   IV_cache    POOLED   19       1.0  0.0856    0.1683   0.5088   0.6109         0.5088  0.3913    0.9998                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-14 10   IV_cache    POOLED  164       1.0  0.2814    0.2312   1.2172   0.2235         1.2172  0.3855    0.9021                   NaN                   NaN                 OK
session:2026-08-17 10   IV_cache    POOLED  161       1.0  0.1493    0.2395   0.6235   0.5330         0.6235  0.6714    1.5090                   NaN                   NaN                 OK
session:2026-08-19 10   IV_cache    POOLED  159       1.0  0.1411    0.0948   1.4890   0.1365         1.4890  0.2956    1.7879                   NaN                   NaN                 OK
session:2026-08-20 10   IV_cache    POOLED  158       1.0  0.0042    0.1197   0.0355   0.9717         0.0355  0.3911    2.3136                   NaN                   NaN                 OK
session:2026-08-21 10   IV_cache    POOLED  146       1.0  0.0517    0.1854   0.2788   0.7804         0.2788  0.6086    2.8208                   NaN                   NaN                 OK
session:2026-08-28 10   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-31 10   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-01 10   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-03 10   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-04 10   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-08 10   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-09 10   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-10 10   IV_cache    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
      fama_macbeth 10   IV_cache    POOLED 2030       6.0  0.1448    0.0433   3.3404   0.0205            NaN     NaN       NaN                1.0000                0.0000                 OK
      surf_lag_le1  5  IV_surf_5    POOLED 1183       3.0  0.1101    0.0560   1.9674   0.0491         1.7432  0.4791    6.9573                   NaN                   NaN                 OK
      surf_lag_le1 10 IV_surf_10    POOLED 1246       1.0  0.3793    0.0897   4.2303   0.0000         4.2303  0.2913    4.1647                   NaN                   NaN                 OK
      surf_lag_le1  5  IV_surf_5      CALL  233       3.0  0.2830    0.1328   2.1310   0.0331         2.0857  0.3828    3.0203                   NaN                   NaN                 OK
      surf_lag_le1 10 IV_surf_10      CALL  679       1.0  0.5111    0.1325   3.8559   0.0001         3.8559  0.2169    2.5002                   NaN                   NaN                 OK
      surf_lag_le1  5  IV_surf_5       PUT  125       3.0 -0.2658    0.1958  -1.3574   0.1746        -1.3210  1.1480    3.0006                   NaN                   NaN                 OK
      surf_lag_le1 10 IV_surf_10       PUT  110       1.0 -0.1174    0.0951  -1.2341   0.2172        -1.2341  0.6752    4.2978                   NaN                   NaN                 OK
      surf_lag_le1  5  IV_surf_5     OTHER  825       3.0  0.1146    0.0650   1.7624   0.0780         1.4944  0.4438    5.2854                   NaN                   NaN                 OK
      surf_lag_le1 10 IV_surf_10     OTHER  457       1.0  0.2681    0.1091   2.4559   0.0141         2.4559  0.3513    2.7815                   NaN                   NaN                 OK
iv_avg_ge2_sources  5   IV_avg_5    POOLED 4848      13.0  0.0756    0.0481   1.5739   0.1155         1.1403  0.5800    8.2326                   NaN                   NaN                 OK
iv_avg_ge2_sources  5   IV_avg_5      CALL  923      13.0  0.0969    0.1441   0.6728   0.5011         0.5112  0.7857    4.1071                   NaN                   NaN                 OK
iv_avg_ge2_sources  5   IV_avg_5       PUT  427      13.0  0.1652    0.0834   1.9815   0.0475         1.7468  0.2804    3.1023                   NaN                   NaN                 OK
iv_avg_ge2_sources  5   IV_avg_5     OTHER 3498      13.0  0.0802    0.0442   1.8148   0.0696         1.4285  0.5037    8.2561                   NaN                   NaN                 OK
iv_avg_ge2_sources 10  IV_avg_10    POOLED 2550      10.0  0.2733    0.0500   5.4681   0.0000         5.3057  0.2731    6.2937                   NaN                   NaN                 OK
iv_avg_ge2_sources 10  IV_avg_10      CALL 1241      10.0  0.3362    0.0861   3.9063   0.0001         3.8107  0.2174    3.2074                   NaN                   NaN                 OK
iv_avg_ge2_sources 10  IV_avg_10       PUT  257      10.0  0.1774    0.1186   1.4958   0.1347         1.2635  0.2955    2.5855                   NaN                   NaN                 OK
iv_avg_ge2_sources 10  IV_avg_10     OTHER 1052      10.0  0.2125    0.0587   3.6210   0.0003         2.8236  0.3457    5.6603                   NaN                   NaN                 OK
iv_avg_ge2_sources 20  IV_avg_20    POOLED 2123       4.0  0.1971    0.0470   4.1924   0.0000         3.9238  0.2175    5.2803                   NaN                   NaN                 OK
iv_avg_ge2_sources 20  IV_avg_20      CALL 1040       4.0  0.2662    0.0777   3.4264   0.0006         3.2572  0.1723    2.7428                   NaN                   NaN                 OK
